Type,Trans Date,Post Date,Description,Amount
Fee,06/18/2017,06/18/2017,PURCHASE INTEREST CHARGE,-12.45
Sale,06/15/2017,06/15/2017,SFMTA MOSCONE GARAGE,-2.00
Sale,06/15/2017,06/18/2017,SOCIAL POLICY,-13.00
Sale,06/15/2017,06/18/2017,BLOCK 2 PARKING LOT,-10.00
Sale,06/14/2017,06/16/2017,THE SANDWICH SHOP,-10.47
Sale,06/13/2017,06/14/2017,SQ *TIGER TEA &amp; JUICE,-3.53
Sale,06/11/2017,06/12/2017,JAPAN CENTER GARAGE,-8.50
Sale,06/11/2017,06/12/2017,SQ *BOBA GUYS FILLMORE,-15.50
Sale,06/11/2017,06/13/2017,ON THE BRIDGE,-17.40
Sale,06/11/2017,06/12/2017,SQ *CHATO,-13.29
Return,06/11/2017,06/12/2017,SQ *BOBA GUYS FILLMORE,4.00
Sale,06/10/2017,06/11/2017,CCSF MTA IPS PRKNG METER,-0.72
Sale,06/10/2017,06/12/2017,PICCINO,-34.69
Sale,06/10/2017,06/11/2017,SQ *AQUA CLUB,-14.03
Sale,06/09/2017,06/12/2017,PICCINO,-58.70
Sale,06/09/2017,06/11/2017,SFMTA MOSCONE GARAGE,-3.00
Sale,06/09/2017,06/11/2017,SFMTA MOSCONE GARAGE,-6.00
Sale,06/08/2017,06/08/2017,SFMTA MOSCONE GARAGE,-6.00
Sale,06/08/2017,06/09/2017,SQ *TIGER TEA &amp; JUICE,-4.62
Sale,06/08/2017,06/09/2017,SQ *TIGER TEA &amp; JUICE,-4.30
Sale,06/07/2017,06/08/2017,THE SANDWICH SHOP,-10.47
Sale,06/07/2017,06/08/2017,SQ *BOBA GUYS POTRERO,-15.45
Sale,06/06/2017,06/06/2017,SFMTA MOSCONE GARAGE,-8.00
Sale,06/05/2017,06/06/2017,SQ *ASHA TEA HOUSE (SF),-8.00
Sale,06/05/2017,06/07/2017,DELTA AIR   0062385896060,-130.20
Sale,06/05/2017,06/07/2017,DELTA AIR   0062385896059,-130.20
Sale,06/04/2017,06/06/2017,IKEA EAST PALO ALTO,-2.74
Sale,06/04/2017,06/05/2017,THE REFUGE,-22.58
Sale,06/04/2017,06/04/2017,SQ *CREOLA BISTRO,-32.77
Sale,06/01/2017,06/02/2017,SANTA RAMEN,-15.00
Sale,05/30/2017,05/31/2017,SQ *POKE LAB FISH BAR,-11.69
Sale,05/30/2017,05/31/2017,SQ *TIGER TEA &amp; JUICE,-5.17
Sale,05/30/2017,05/31/2017,SQ *TIGER TEA &amp; JUICE,-5.17
Sale,05/30/2017,05/30/2017,GOOGLE *SVCSAPPS_00C23,-0.01
Sale,05/29/2017,05/30/2017,ICICLES,-15.00
Sale,05/28/2017,05/29/2017,SQ *BOBA GUYS POTRERO,-13.22
Sale,05/28/2017,05/28/2017,SQ *TIGER TEA &amp; JUICE,-10.33
Sale,05/27/2017,05/29/2017,Skool Restaurant,-84.35
Sale,05/27/2017,05/29/2017,SFMTA MOSCONE GARAGE,-7.00
Sale,05/26/2017,05/29/2017,FIREHOUSE NO 1,-57.26
Sale,05/24/2017,05/25/2017,SQ *TIGER TEA &amp; JUICE,-4.62
Sale,05/23/2017,05/23/2017,AIRBNB,-500.00
Sale,05/23/2017,05/23/2017,AIRBNB,-367.00
Sale,05/23/2017,05/25/2017,WETZEL'S PRETZELS,-6.20
Sale,05/23/2017,05/23/2017,SNOCREAM,-6.56
Sale,05/22/2017,05/24/2017,AMTRAK .COM 1420627110785,-84.00
Sale,05/21/2017,05/23/2017,FARMSTEAD,-38.28
Sale,05/20/2017,05/21/2017,SQ *MISSION HEIRLOOM,-49.71
Sale,05/20/2017,05/21/2017,MASSE'S PASTRIES,-16.50
Sale,05/20/2017,05/21/2017,SQ *CREATIVE NAIL SPA,-22.00
Sale,05/19/2017,05/21/2017,SQ *TIGER TEA &amp; JUICE,-4.62
